SecuCode,InfoPublDate,tag
000001,2003-01-01,银行
000002,2003-01-01,房地产
000004,2003-01-01,计算机
000004,2004-11-01,医药
000005,2003-01-01,房地产
000005,2018-02-27,电力及公用事业
000006,2003-01-01,房地产
000007,2003-01-01,餐饮旅游
000007,2012-12-31,有色金属
000007,2014-05-05,餐饮旅游
000007,2014-07-01,有色金属
000007,2018-02-27,房地产
000008,2003-01-01,房地产
000008,2005-05-01,商贸零售
000008,2014-05-05,餐饮旅游
000008,2015-03-02,交通运输
000008,2015-06-01,机械
000009,2003-01-01,房地产
000009,2014-10-09,综合
000010,2003-01-01,电子元器件
000010,2005-05-01,房地产
000010,2006-05-01,机械
000010,2015-05-01,建筑
000010,2018-02-27,建筑
000011,2003-01-01,房地产
000012,2003-01-01,建材
000012,2018-02-27,建材
000014,2003-01-01,房地产
000016,2003-01-01,家电
000017,2003-01-01,机械
000018,2003-01-01,纺织服装
000018,2011-05-05,房地产
000018,2018-02-27,建筑
000019,2003-01-01,食品饮料
000020,2003-01-01,电子元器件
000021,2003-01-01,电子元器件
000023,2003-01-01,房地产
000023,2014-05-05,建材
000024,2003-01-01,石油石化
000024,2004-11-01,房地产
000025,2003-01-01,汽车
000025,2019-07-29,综合
000026,2003-01-01,轻工制造
000026,2017-01-24,商贸零售
000027,2003-01-01,电力及公用事业
000028,2003-01-01,医药
000029,2003-01-01,房地产
000030,2003-01-01,综合
000030,2018-02-27,汽车
000031,2003-01-01,商贸零售
000031,2006-05-01,房地产
000032,2003-01-01,电子元器件
000032,2012-05-02,电子元器件
000032,2018-02-27,通信
000033,2003-01-01,餐饮旅游
000034,2003-01-01,通信
000034,2004-11-01,综合
000034,2014-10-09,农林牧渔
000034,2017-02-07,计算机
000034,2018-02-27,计算机
000034,2018-06-08,通信
000034,2019-07-22,计算机
000035,2003-01-01,通信
000035,2014-10-09,电力设备
000035,2015-02-01,电力及公用事业
000036,2003-01-01,纺织服装
000036,2005-11-01,石油石化
000036,2008-05-01,房地产
000037,2003-01-01,电力及公用事业
000038,2003-01-01,商贸零售
000038,2011-05-05,房地产
000038,2018-02-09,传媒
000039,2003-01-01,机械
000040,2003-01-01,房地产
000040,2018-02-27,电力及公用事业
000042,2003-01-01,房地产
000043,2003-01-01,机械
000043,2009-05-01,房地产
000045,2003-01-01,电子元器件
000046,2003-01-01,房地产
000048,2010-09-20,农林牧渔
000049,2003-01-01,房地产
000049,2005-05-01,轻工制造
000049,2013-05-03,电子元器件
000050,2003-01-01,电子元器件
000055,2003-01-01,建材
000056,2003-01-01,商贸零售
000056,2008-05-01,房地产
000058,2003-01-01,电子元器件
000058,2012-05-02,房地产
000059,2003-01-01,石油石化
000060,2003-01-01,有色金属
000061,2003-01-01,农林牧渔
000061,2013-05-03,商贸零售
000061,2018-02-27,农林牧渔
000062,2003-01-01,电子元器件
000062,2012-05-02,房地产
000063,2003-01-01,通信
000065,2003-01-01,建筑
000066,2003-01-01,计算机
000068,2003-01-01,电子元器件
000068,2016-03-16,电力及公用事业
000069,2003-01-01,房地产
000069,2011-05-05,餐饮旅游
000069,2012-05-02,房地产
000069,2014-04-01,餐饮旅游
000069,2014-05-05,房地产
000069,2018-02-27,房地产
000070,2003-01-01,通信
000078,2003-01-01,医药
000078,2018-03-07,医药
000088,2003-01-01,交通运输
000088,2011-05-05,交通运输
000089,2003-01-01,交通运输
000090,2003-01-01,房地产
000090,2012-05-02,建筑
000096,2003-01-01,石油石化
000096,2018-03-07,石油石化
000099,2003-01-01,交通运输
000100,2004-02-13,家电
000100,2019-05-22,电子元器件
000150,2003-01-01,机械
000150,2007-11-01,房地产
000150,2018-03-07,医药
000151,2003-01-01,商贸零售
000153,2003-01-01,医药
000155,2003-01-01,基础化工
000155,2019-07-22,商贸零售
000156,2003-01-01,基础化工
000156,2004-11-01,建材
000156,2013-01-07,传媒
000157,2003-01-01,机械
000158,2003-01-01,纺织服装
000158,2017-02-07,计算机
000158,2018-03-07,综合
000158,2019-07-22,计算机
000159,2003-01-01,房地产
000159,2006-11-01,煤炭
000159,2013-05-03,石油石化
000166,2015-02-01,非银行金融
000301,2003-01-01,纺织服装
000301,2008-05-01,综合
000301,2015-05-01,电力及公用事业
000301,2018-09-07,石油石化
000333,2013-10-09,家电
000338,2007-05-21,汽车
000400,2003-01-01,电力设备
000401,2003-01-01,建材
000402,2003-01-01,房地产
000403,2003-01-01,机械
000403,2004-11-01,医药
000404,2003-01-01,家电
000406,2003-01-01,石油石化
000407,2003-01-01,基础化工
000407,2012-05-02,石油石化
000407,2017-03-06,电力及公用事业
000408,2003-01-01,建材
000408,2012-05-02,钢铁
000408,2018-02-27,基础化工
000409,2003-01-01,综合
000409,2006-05-01,综合
000409,2014-05-05,钢铁
000409,2018-02-27,综合
000410,2003-01-01,机械
000411,2003-01-01,医药
000413,2003-01-01,电子元器件
000415,2003-01-01,医药
000415,2004-05-01,综合
000415,2014-10-09,非银行金融
000416,2003-01-01,医药
000416,2006-05-01,综合
000416,2012-08-31,商贸零售
000416,2018-02-27,非银行金融
000417,2003-01-01,商贸零售
000418,2003-01-01,家电
000419,2003-01-01,商贸零售
000419,2018-02-27,商贸零售
000420,2003-01-01,基础化工
000421,2003-01-01,交通运输
000421,2015-05-01,综合
000421,2017-03-06,电力及公用事业
000422,2003-01-01,基础化工
000423,2003-01-01,医药
000425,2003-01-01,机械
000426,2003-01-01,有色金属
000426,2011-05-05,电力及公用事业
000426,2012-05-02,有色金属
000426,2018-02-27,有色金属
000428,2003-01-01,餐饮旅游
000429,2003-01-01,交通运输
000430,2003-01-01,餐饮旅游
000488,2003-01-01,轻工制造
000498,2003-01-01,基础化工
000498,2013-05-03,建筑
000501,2003-01-01,商贸零售
000502,2003-01-01,房地产
000503,2003-01-01,纺织服装
000503,2006-05-01,商贸零售
000503,2007-05-01,医药
000504,2003-01-01,传媒
000504,2006-11-01,通信
000504,2012-10-10,传媒
000504,2018-02-27,综合
000505,2003-01-01,房地产
000505,2018-06-07,食品饮料
000506,2003-01-01,轻工制造
000506,2008-05-01,轻工制造
000506,2011-05-05,房地产
000507,2003-01-01,综合
000507,2012-08-31,交通运输
000509,2003-01-01,建材
000510,2003-01-01,基础化工
000511,2003-01-01,房地产
000511,2014-10-09,建材
000513,2003-01-01,医药
000513,2010-09-09,医药
000514,2003-01-01,房地产
000514,2018-02-27,房地产
000515,2003-01-01,钢铁
000516,2003-01-01,商贸零售
000516,2017-01-24,医药
000516,2018-02-27,商贸零售
000516,2019-07-22,医药
000517,2003-01-01,通信
000517,2006-11-01,机械
000517,2009-05-01,房地产
000518,2003-01-01,纺织服装
000518,2008-05-01,医药
000519,2003-01-01,国防军工
000519,2012-05-02,机械
000519,2014-10-09,建材
000519,2018-02-27,国防军工
000520,2003-01-01,基础化工
000520,2007-05-01,交通运输
000521,2003-01-01,家电
000522,2003-01-01,医药
000522,2010-09-09,医药
000523,2003-01-01,基础化工
000524,2003-01-01,餐饮旅游
000525,2003-01-01,基础化工
000525,2012-05-02,基础化工
000525,2014-05-05,基础化工
000526,2003-01-01,轻工制造
000526,2011-05-05,房地产
000526,2019-07-22,综合
000527,2003-01-01,家电
000528,2003-01-01,机械
000529,2003-01-01,食品饮料
000529,2019-07-22,综合
000530,2003-01-01,机械
000531,2003-01-01,电力及公用事业
000532,2003-01-01,电子元器件
000533,2003-01-01,电力设备
000533,2012-05-02,家电
000534,2003-01-01,电力及公用事业
000534,2007-05-01,房地产
000536,2003-01-01,电子元器件
000537,2003-01-01,机械
000537,2005-05-01,房地产
000538,2003-01-01,医药
000539,2003-01-01,电力及公用事业
000540,2003-01-01,房地产
000540,2018-02-27,房地产
000541,2003-01-01,家电
000543,2003-01-01,电力及公用事业
000544,2003-01-01,机械
000544,2007-05-01,电力及公用事业
000545,2003-01-01,医药
000545,2010-09-09,医药
000545,2014-05-05,基础化工
000546,2003-01-01,综合
000546,2015-05-01,建材
000546,2017-03-06,电力及公用事业
000546,2018-02-27,建材
000547,2003-01-01,通信
000547,2015-10-01,国防军工
000548,2003-01-01,交通运输
000548,2018-06-07,房地产
000548,2019-07-22,交通运输
000549,2003-01-01,汽车
000550,2003-01-01,汽车
000551,2003-01-01,电力设备
